HOUSEHOLD_ID,DRIVER_ID,POLICY_ID,CLAIM_ID,INCIDENT_CAUSE,DESCRIPTION,CLAIM_STATUS,ODOMETER_AT_LOSS,LOSS_EVENT_TIME,CLAIM_INIT_TIME,POLICE_REPORT,CLAIMS_AT_LOSS_DATE,LOSS_LOCATION_LAT,LOSS_LOCATION_LONG,CLAIM_AMOUNT,FLAG_FOR_FRAUD_INV,PRIMARY_DRIVER_ID,START_DATE,EXPIRY_DATE,MODEL_YEAR,MAKE,MODEL,PLATE,COLOR,INITIAL_ODOMETER,LOW_MILEAGE_USE,FIRST_NAME,LAST_NAME,GENDER,BIRTHDATE,SSN,DRIVERS_LICENSE_ID,DRIVERS_LICENSE_EXPIRY,DRIVERS_LICENSE_STATE,DATE_AT_CURRENT_ADDRESS,CONTACT_NUMBER,EMAIL,COMMUTE_DISCOUNT
CH42335,XZJ2837,NW5567882,A-2017-UU907,3,,1,157654.9,4/25/17,4/28/17,1,1,41.90210313,-87.75562353,35765,1,XZJ2837,9/19/16,9/19/17,2010,Nissan,Sentra,MJCW106,Silver,144972,0,Will,Dorau,M,12/25/73,457-20-9007,X151-5971-1594,8/19/18,IL,4/16/99,634-603-0960 ,wdorau@freshmaail.com,0
IH49805,VVR6423,UR4864804,A-2018-FI481,3,,3,226154.5,8/26/18,8/31/18,0,1,41.96356191,-87.73139688,1909,0,VVR6423,6/14/17,6/14/18,2008,Dodge,Ram,LKUD688,White,212580,0,Tammie,Mostrom,F,9/14/45,718-38-8987,K702-7678-1851,1/27/18,IL,6/9/11,827-916-0381 ,tmostrom@yahoot.com,0
AF28736,UQM2512,RR8595908,A-2016-ZG694,1,,1,83968.6,1/7/16,1/11/16,0,2,41.73660156,-87.6049681,25730,1,UQM2512,8/24/15,8/23/16,2009,Chevrolet,Equinox,OBQU415,White,77994,1,Esther,Sebranek,F,5/16/88,076-62-7083,V549-5272-3181,11/19/19,IL,5/21/05,723-552-0479 ,esebranek@zohoo.com,0
EF53594,YDT5591,RN5640634,A-2016-NG783,1,,1,309570.3,12/11/16,12/18/16,0,1,41.90992525,-87.73155722,40880,1,YDT5591,7/25/15,7/24/16,2002,Chevrolet,Equinox,EVOQ882,White,296352,0,Donny,Nickless,M,1/18/74,571-32-3662,Z350-2956-6553,5/16/19,IL,3/11/00,741-637-0631 ,dnickless@life.com,0
LD32277,ONM5465,YY1229530,A-2017-ZO863,3,,3,136633.9,6/6/17,6/8/17,0,1,41.9237502,-87.78988086,2130,0,JZZ5688,1/8/16,1/7/17,2010,Honda,CR-V,OGDM932,White,134244,0,Floyd,Liggan,M,5/1/50,315-84-4443,E912-8544-3880,7/6/20,IL,7/4/12,735-427-0152 ,fliggan@mooosend.com,0
DM94074,GBU7751,XP3473763,A-2018-XB432,1,,3,326514.1,3/6/18,3/19/18,0,1,41.90925707,-87.78505659,1970,0,BUK6977,1/15/17,1/15/18,2004,Ford,F-150,REJM073,White,316848,0,Eula,Warszawski,F,7/11/96,471-29-3745,I654-9978-4497,9/26/21,IL,7/15/01,258-917-0229 ,ewarszawski@husshmail.com,0
MD38210,CBR4335,US5444269,A-2017-XP758,2,,3,58477.9,8/13/17,8/18/17,0,1,41.92839511,-87.7964676,2290,0,CBR4335,7/8/16,7/8/17,2012,Chevrolet,Impala,CMJQ294,Silver,53232,1,Griselda,Loner,F,1/17/94,831-08-6699,U505-6792-6383,5/10/19,IL,4/8/04,237-542-0511 ,gloner@inboux.com,0
GL77908,HZF3884,XR1994270,A-2017-QY946,1,,3,176476.9,2/10/17,2/18/17,0,1,41.88571554,-87.72837561,2990,0,QAX1481,8/11/16,8/11/17,2010,Kia,Sportage,ZXUR990,Med Dk Blue,165900,0,Octavio,Schneweis,M,5/28/48,533-58-6360,U229-6740-4370,4/26/19,IL,2/2/99,358-965-0435 ,oschneweis@inboux.com,0
BA26199,CSE9523,VP6368585,A-2018-LB818,3,,3,277812.7,2/16/18,2/24/18,0,1,41.89505399,-87.74566176,1170,0,CSE9523,10/13/17,10/13/18,2006,Nissan,Sentra,MUWC424,Black,268104,0,Hiram,Tobal,M,6/6/01,177-05-4386,C119-6069-3125,4/15/21,IL,3/7/05,342-300-0794 ,htobal@zohoo.com,0
EA38976,HFX7408,YP9758006,A-2016-QD338,5,,3,190541.3,12/28/16,1/11/17,0,1,41.89197561,-87.61458027,2090,0,HFX7408,6/23/15,6/22/16,2008,Kia,Sportage,DSBF062,Med. Dark Gray,178656,0,Daphne,Combis,F,5/13/96,663-04-9631,H990-2061-2569,8/7/19,IL,3/4/12,729-508-0389 ,dcombis@mooosend.com,0
GB64343,PXE3728,XY6800348,A-2017-CK710,1,,3,290975.1,8/12/17,8/25/17,0,1,41.91122338,-87.63865603,2130,0,PXE3728,4/14/16,4/14/17,2005,Kia,Optima,YSOB682,Med. Dark Gray,280368,0,Lea,Vandriessche,F,3/15/84,597-29-1657,E935-8533-8050,7/2/19,IL,5/3/17,751-341-0972 ,lvandriessche@outloop.com,0
JG99629,OKH5337,ZK6994471,A-2018-WF114,3,,1,159873.2,7/30/18,7/30/18,1,5,41.73583545,-87.66786637,33040,1,OKH5337,2/22/17,2/22/18,2010,Hyundai,Sonata,XRIG314,Med Dk Blue,157344,0,Chuck,Matovich,M,8/17/44,859-29-4381,B243-8755-9939,3/29/18,IL,7/6/08,235-819-0662 ,cmatovich@mmail.com,0
FH81231,RQZ1566,ZR4462879,A-2018-VT470,1,,3,391866.9,2/22/18,2/26/18,0,1,41.73416431,-87.55121062,2400,0,FSC3949,1/10/17,1/10/18,1998,Dodge,Durango,WGOW284,Med Dark Green,385536,0,Charley,Royland,M,3/10/76,402-37-9515,A797-1886-8312,4/1/18,IL,5/15/12,335-799-0958 ,croyland@lightemail.com,0
KI98597,VRX5780,ZW4263453,A-2017-SA279,3,,1,384000.6,2/6/17,2/6/17,0,3,41.79185207,-87.8013778,21330,1,VRX5780,6/4/16,6/4/17,2000,Toyota,Corolla,UDHZ478,White,370668,0,Tasha,Rew,F,11/25/67,024-31-2998,P682-5118-5638,7/13/19,IL,1/14/07,238-856-0215 ,trew@mmail.com,0
CG61685,TIA1702,UW8176531,A-2018-EJ368,2,,3,251644.8,7/10/18,7/18/18,1,1,42.00593081,-87.68066049,3427,0,TIA1702,4/10/17,4/10/18,2007,Nissan,Rogue,QSSR643,Med Dk Blue,237900,0,Casey,Glauber,F,3/12/64,060-11-5593,N905-1410-1235,4/25/20,IL,9/25/09,729-792-0612 ,cglauber@beemail.com,0
AB12181,OBD8151,RW8652538,A-2017-CT587,2,,1,300279.3,7/29/17,8/10/17,0,1,41.69340052,-87.61232172,35385.5,1,OBD8151,11/25/16,11/25/17,2004,Chevrolet,Camaro,EBPS972,Silver,294552,0,Marguerite,Derfus,F,4/6/65,518-80-3637,B797-7778-3019,4/13/19,IL,7/4/99,736-908-0587 ,mderfus@zohoo.com,0
BJ63668,WDC2749,PQ3189850,A-2017-CU817,2,,3,73419.5,12/30/17,1/3/18,0,1,41.84014456,-87.66133946,1570,0,OZP7842,4/6/16,4/6/17,2010,Honda,HR-V,WEIJ389,Black,68880,1,Lauren,Bennerman,M,11/29/49,374-53-5198,B838-2736-1084,7/15/20,IL,5/21/02,739-454-0796 ,lbennerman@fasstmail.com,0
